stock_id,date,BuyAfterSale,Volume,BuyAmount,SellAmount
0050,2023-12-05,,403000,52462950,52510800
0050,2023-12-06,,182000,23818400,23829900
0050,2023-12-06,,182000,23818400,23829900
0050,2023-12-07,,171000,22295800,22287250
0050,2023-12-07,,171000,22295800,22287250
0050,2023-12-08,,1837000,241199200,241093350
0050,2023-12-08,,1837000,241199200,241093350
0050,2023-12-11,,125000,16364000,16390050
0050,2023-12-11,,125000,16364000,16390050
0050,2023-12-12,,274000,36123650,36071300
0050,2023-12-12,,274000,36123650,36071300
0050,2023-12-13,,218000,28698800,28679750
0050,2023-12-13,,218000,28698800,28679750
0050,2023-12-14,,870000,115680200,115765100
0050,2023-12-14,,870000,115680200,115765100
0050,2023-12-15,,0,0,0
0050,2023-12-15,,0,0,0
